id,accession_number,artist,artistRole,artistId,title,dateText,medium,creditLine,year,acquisitionYear,dimensions,width,height,depth,units,inscription,thumbnailCopyright,thumbnailUrl,url
1701,A00063,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of Seated Figure for ‘The Garden Court’ in the ‘Briar Rose’ Series,c.1873,Graphite on paper,Bequeathed by A.N. MacNicholl 1916,1873.0,1916,support: 126 x 180 mm,126.0,180.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00063_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-seated-figure-for-the-garden-court-in-the-briar-rose-series-a00063
1702,A00064,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of Seated Figure for ‘The Garden Court’ in the ‘Briar Rose’ Series,c.1873,Graphite on paper,Bequeathed by A.N. MacNicholl 1916,1873.0,1916,support: 126 x 179 mm,126.0,179.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00064_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-seated-figure-for-the-garden-court-in-the-briar-rose-series-a00064
1703,A00065,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Figure Study for ‘The Rose Bower’ (Briar Rose Series). Verso: Study of the Head of Merlin for ‘The Beguiling of Merlin’,c.1872–7,Charcoal and graphite on paper. Verso: graphite on paper,Bequeathed by A.N. MacNicholl 1916,1872.0,1916,support: 212 x 235 mm,212.0,235.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00065_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-figure-study-for-the-rose-bower-briar-rose-series-verso-study-of-the-head-of-a00065
1704,A00066,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Three Studies for ‘The Beguiling of Merlin’,c.1872–7,Graphite on paper,Bequeathed by A.N. MacNicholl 1916,1872.0,1916,support: 323 x 222 mm,323.0,222.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00066_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-three-studies-for-the-beguiling-of-merlin-a00066
1705,A00067,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Studies of a Sleeve,date not known,Graphite on paper,Bequeathed by A.N. MacNicholl 1916,,1916,support: 244 x 152 mm,244.0,152.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00067_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-studies-of-a-sleeve-a00067
1706,A00068,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Kneeling Woman,date not known,Chalk on paper,Presented by Lord Duveen 1924,,1924,support: 152 x 165 mm,152.0,165.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00068_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-kneeling-woman-a00068
1707,A00069,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Stooping Woman,date not known,Chalk on paper,Presented by Lord Duveen 1924,,1924,support: 152 x 165 mm,152.0,165.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00069_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-stooping-woman-a00069
1708,A00070,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of a Female Head for ‘The Hours’,c.1872,Graphite on paper,Presented by Lord Duveen 1925,1872.0,1925,support: 146 x 149 mm,146.0,149.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00070_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-a-female-head-for-the-hours-a00070
1709,A00071,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Female Head,date not known,Graphite on paper,Presented by Lord Duveen 1925,,1925,support: 146 x 149 mm,146.0,149.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00071_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-female-head-a00071
1710,A00072,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Ruth and Boaz,1879,Graphite on paper,Bequeathed by J.R. Holliday 1927,1879.0,1927,support: 645 x 518 mm,645.0,518.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00072_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-ruth-and-boaz-a00072
1711,A00073,"Burne-Jones, Sir Edward Coley, Bt",artist,68,The Finding of Moses,1879,Graphite on paper,Bequeathed by J.R. Holliday 1927,1879.0,1927,support: 647 x 518 mm,647.0,518.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00073_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-the-finding-of-moses-a00073
1712,A00074,"Burne-Jones, Sir Edward Coley, Bt",artist,68,St Alban,1875,Charcoal and graphite on paper,Bequeathed by J.R. Holliday 1927,1875.0,1927,support: 730 x 398 mm,730.0,398.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00074_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-st-alban-a00074
1713,A00075,"Burne-Jones, Sir Edward Coley, Bt",artist,68,St Aidan,1875,Charcoal and graphite on paper,Bequeathed by J.R. Holliday 1927,1875.0,1927,support: 730 x 400 mm,730.0,400.0,,mm,,,,http://www.tate.org.uk/art/artworks/burne-jones-st-aidan-a00075
1714,A00076,"Burne-Jones, Sir Edward Coley, Bt",artist,68,St Oswald,1875,Charcoal and graphite on paper,Bequeathed by J.R. Holliday 1927,1875.0,1927,support: 730 x 400 mm,730.0,400.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00076_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-st-oswald-a00076
1715,A00077,"Burne-Jones, Sir Edward Coley, Bt",artist,68,St Boniface,1875,Charcoal and graphite on paper,Bequeathed by J.R. Holliday 1927,1875.0,1927,support: 731 x 400 mm,731.0,400.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00077_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-st-boniface-a00077
1716,A00078,"Burne-Jones, Sir Edward Coley, Bt",artist,68,Study of the Head of Tristram for ‘The Madness of Sir Tristram’,c.1862,Graphite on paper,Bequeathed by J.R. Holliday 1927,1862.0,1927,support: 101 x 131 mm,101.0,131.0,,mm,,,http://www.tate.org.uk/art/images/work/A/A00/A00078_8.jpg,http://www.tate.org.uk/art/artworks/burne-jones-study-of-the-head-of-tristram-for-the-madness-of-sir-tristram-a00078
